car_id,problem_category
286848,POWER TRAIN
229768,AIR BAGS
268704,FUEL SYSTEM
247152,SERVICE BRAKES
165073,STEERING
78333,ELECTRICAL SYSTEM
284398,EXTERIOR LIGHTING
66419,POWER TRAIN
167622,ENGINE
53070,STEERING
108936,SERVICE BRAKES
281863,POWER TRAIN
186153,STEERING
241124,POWER TRAIN
203452,EXTERIOR LIGHTING
63472,ENGINE
59598,BACK OVER PREVENTION
162691,VISIBILITY
99944,AIR BAGS
278051,VISIBILITY
6116,POWER TRAIN
271169,FUEL SYSTEM
270524,FUEL SYSTEM
293486,VISIBILITY/WIPER
124851,ENGINE
156278,STEERING
81041,ENGINE
139119,EXTERIOR LIGHTING
135295,ENGINE
277430,POWER TRAIN
255820,ENGINE
219559,SEAT BELTS
35878,VISIBILITY/WIPER
183008,ENGINE AND ENGINE COOLING
246183,FUEL SYSTEM
208814,STRUCTURE
291578,ENGINE
258331,VISIBILITY/WIPER
30056,AIR BAGS
251933,ELECTRICAL SYSTEM
182685,ENGINE
192626,ELECTRICAL SYSTEM
292216,ENGINE
49887,SEAT BELTS
118880,ENGINE
157202,FORWARD COLLISION AVOIDANCE
25330,ENGINE
222147,SERVICE BRAKES
260858,STRUCTURE
102215,FORWARD COLLISION AVOIDANCE
225057,SUSPENSION
188269,POWER TRAIN
3916,AIR BAGS
277275,ENGINE
263735,ENGINE
110482,ENGINE AND ENGINE COOLING
297744,SEATS
288681,POWER TRAIN
262553,ELECTRICAL SYSTEM
122631,ENGINE
55195,ENGINE
92400,POWER TRAIN
77669,POWER TRAIN
212357,STEERING
39769,ENGINE
169010,ENGINE
25332,ENGINE
170548,ELECTRICAL SYSTEM
160744,EXTERIOR LIGHTING
20531,ENGINE
132952,AIR BAGS
269606,VEHICLE SPEED CONTROL
177271,ENGINE
160151,POWER TRAIN
15644,ENGINE
257771,STEERING
4005,POWER TRAIN
86425,AIR BAGS
259370,FUEL SYSTEM
192579,ELECTRICAL SYSTEM
91184,FUEL SYSTEM
59872,ELECTRICAL SYSTEM
227524,SERVICE BRAKES
265069,SEATS
190424,POWER TRAIN
219390,POWER TRAIN
288679,SERVICE BRAKES
41632,VISIBILITY
177673,ENGINE
281259,POWER TRAIN
158250,STEERING
98778,POWER TRAIN
217381,POWER TRAIN
232700,SERVICE BRAKES
223863,ENGINE
96243,ELECTRICAL SYSTEM
49089,STEERING
193074,STRUCTURE
76553,AIR BAGS
140999,ENGINE
158527,FUEL SYSTEM
182313,STEERING
142859,STEERING
23326,POWER TRAIN
121497,FUEL SYSTEM
45538,POWER TRAIN
178094,STRUCTURE
265050,ELECTRICAL SYSTEM
285443,ENGINE
165630,ENGINE
282289,ENGINE
116512,STEERING
538,STRUCTURE
232648,POWER TRAIN
128612,POWER TRAIN
135513,ENGINE AND ENGINE COOLING
69145,WHEELS
2859,SERVICE BRAKES
81777,POWER TRAIN
230184,ENGINE AND ENGINE COOLING
134047,ENGINE
120253,FUEL/PROPULSION SYSTEM
202729,POWER TRAIN
88467,VISIBILITY
289394,STEERING
23180,ENGINE
175613,SERVICE BRAKES
45988,POWER TRAIN
89282,ENGINE AND ENGINE COOLING
203025,STEERING
44085,STEERING
103684,STRUCTURE
17664,POWER TRAIN
16629,ELECTRICAL SYSTEM
66369,EXTERIOR LIGHTING
126382,VISIBILITY/WIPER
24760,SUSPENSION
19716,TIRES
89911,FUEL SYSTEM
152522,TIRES
194887,SERVICE BRAKES
2206,POWER TRAIN
35455,POWER TRAIN
291731,EXTERIOR LIGHTING
147452,BACK OVER PREVENTION
118077,UNKNOWN
212901,EXTERIOR LIGHTING
29111,ENGINE
52209,POWER TRAIN
242455,ENGINE
4527,POWER TRAIN
25467,POWER TRAIN
135333,SERVICE BRAKES
282071,ELECTRICAL SYSTEM
295232,POWER TRAIN
200106,VEHICLE SPEED CONTROL
107845,ELECTRICAL SYSTEM
100876,FUEL SYSTEM
7632,POWER TRAIN
103514,STEERING
298222,ENGINE AND ENGINE COOLING
68678,STEERING
4822,ENGINE
217489,EQUIPMENT
46870,POWER TRAIN
58717,SERVICE BRAKES
219279,POWER TRAIN
78562,VEHICLE SPEED CONTROL
238789,AIR BAGS
245295,VISIBILITY/WIPER
7814,ENGINE
100587,VEHICLE SPEED CONTROL
156359,FUEL SYSTEM
135685,VEHICLE SPEED CONTROL
79107,POWER TRAIN
272720,STRUCTURE
183384,SERVICE BRAKES
256612,STEERING
9604,STRUCTURE
134680,EQUIPMENT
49220,ELECTRICAL SYSTEM
1204,ENGINE
12613,POWER TRAIN
218940,SERVICE BRAKES
256691,ENGINE
243802,STEERING
166678,STRUCTURE
96286,POWER TRAIN
295271,FUEL SYSTEM
213514,POWER TRAIN
64107,FUEL/PROPULSION SYSTEM
26010,STEERING
172380,STEERING
153811,FORWARD COLLISION AVOIDANCE
2083,SERVICE BRAKES
192733,FUEL SYSTEM
229386,STEERING
72709,POWER TRAIN
6561,STEERING
108547,WHEELS
52590,STRUCTURE
167768,ENGINE
11695,SEATS
62208,POWER TRAIN
216321,ELECTRICAL SYSTEM
297231,ENGINE
141183,ENGINE
99293,POWER TRAIN
167171,LATCHES/LOCKS/LINKAGES
221589,ELECTRICAL SYSTEM
298207,POWER TRAIN
291519,VISIBILITY/WIPER
23256,VISIBILITY
270910,STRUCTURE
156604,ENGINE
180198,ELECTRICAL SYSTEM
148820,STEERING
197632,SERVICE BRAKES
297421,ELECTRICAL SYSTEM
8292,VISIBILITY
275059,POWER TRAIN
253051,STRUCTURE
93477,EQUIPMENT
107275,AIR BAGS
6204,VEHICLE SPEED CONTROL
8937,ENGINE
132627,ENGINE
186050,ENGINE
204135,ELECTRICAL SYSTEM
154400,ELECTRICAL SYSTEM
249012,SUSPENSION
220142,ELECTRICAL SYSTEM
26907,SEAT BELTS
281458,STEERING
176966,POWER TRAIN
256872,TIRES
275519,ENGINE
53954,FUEL/PROPULSION SYSTEM
235913,POWER TRAIN
59177,FORWARD COLLISION AVOIDANCE
257747,SERVICE BRAKES
73676,SUSPENSION
112821,POWER TRAIN
104963,ENGINE
249811,STEERING
278653,AIR BAGS
69700,FUEL SYSTEM
117631,STEERING
208389,POWER TRAIN
136972,ELECTRICAL SYSTEM
253349,AIR BAGS
47408,STRUCTURE
247138,POWER TRAIN
181876,FUEL SYSTEM
267722,EQUIPMENT
165738,POWER TRAIN
141764,POWER TRAIN
45085,TIRES
28050,VEHICLE SPEED CONTROL
103389,ENGINE
239084,ELECTRICAL SYSTEM
129223,POWER TRAIN
110114,FUEL/PROPULSION SYSTEM
160888,ENGINE
52891,ENGINE AND ENGINE COOLING
55795,VISIBILITY/WIPER
205340,ENGINE
92892,STEERING
260602,VISIBILITY
195036,POWER TRAIN
183826,SERVICE BRAKES
136672,ENGINE
115392,ENGINE
132802,EXTERIOR LIGHTING
61657,ELECTRICAL SYSTEM
106250,ELECTRICAL SYSTEM
191276,STEERING
185091,FORWARD COLLISION AVOIDANCE
125258,ENGINE
183463,POWER TRAIN
51227,ELECTRICAL SYSTEM
138203,POWER TRAIN
163109,STRUCTURE
84884,POWER TRAIN
202937,BACK OVER PREVENTION
202767,SEAT BELTS
220548,SUSPENSION
231703,ENGINE
125448,POWER TRAIN
18181,SERVICE BRAKES
240167,POWER TRAIN
62120,ENGINE
81619,ELECTRICAL SYSTEM
80495,STEERING
26087,UNKNOWN
24037,ENGINE
168609,AIR BAGS
295996,TIRES
254172,ENGINE
81121,SUSPENSION
170679,STEERING
163469,ENGINE
62019,ELECTRICAL SYSTEM
191969,EXTERIOR LIGHTING
192909,FORWARD COLLISION AVOIDANCE
244146,SUSPENSION
93435,FUEL/PROPULSION SYSTEM
40983,POWER TRAIN
255291,SEATS
96101,STEERING
103153,VEHICLE SPEED CONTROL
173934,AIR BAGS
7517,SERVICE BRAKES
75176,STEERING
28420,ENGINE
90736,FORWARD COLLISION AVOIDANCE
281178,LATCHES/LOCKS/LINKAGES
282823,POWER TRAIN
11294,POWER TRAIN
167014,STEERING
255551,ENGINE
289380,BACK OVER PREVENTION
115394,POWER TRAIN
215567,ELECTRICAL SYSTEM
391,POWER TRAIN
268913,ENGINE
99995,ELECTRICAL SYSTEM
160220,FORWARD COLLISION AVOIDANCE
252403,ELECTRICAL SYSTEM
153860,ELECTRICAL SYSTEM
175914,ELECTRICAL SYSTEM
35438,STRUCTURE
123305,SEAT BELTS
261219,VEHICLE SPEED CONTROL
21028,FUEL SYSTEM
103382,SERVICE BRAKES
193041,ENGINE
28920,ELECTRICAL SYSTEM
2701,POWER TRAIN
278332,SERVICE BRAKES
134838,ELECTRICAL SYSTEM
122650,ENGINE
273762,ELECTRICAL SYSTEM
66285,SERVICE BRAKES
137577,VISIBILITY
284030,FORWARD COLLISION AVOIDANCE
27419,SEATS
184622,ENGINE
193917,TIRES
170325,SERVICE BRAKES
121554,BACK OVER PREVENTION
191981,STRUCTURE
293919,SERVICE BRAKES
31341,SERVICE BRAKES
183478,AIR BAGS
274171,POWER TRAIN
71486,BACK OVER PREVENTION
211829,ENGINE
214267,ENGINE
25866,ELECTRICAL SYSTEM
200015,SERVICE BRAKES
18008,POWER TRAIN
64221,POWER TRAIN
12314,ENGINE
95423,ELECTRICAL SYSTEM
36084,POWER TRAIN
45644,WHEELS
158037,ELECTRICAL SYSTEM
165450,FUEL/PROPULSION SYSTEM
15050,AIR BAGS
275942,VISIBILITY/WIPER
212733,ELECTRICAL SYSTEM
22729,ENGINE
57583,AIR BAGS
65838,ENGINE
179807,SEAT BELTS
86528,ENGINE AND ENGINE COOLING
32115,STEERING
121475,POWER TRAIN
168804,ENGINE
201521,STEERING
217849,VISIBILITY/WIPER
66607,ENGINE
192618,ENGINE
110289,POWER TRAIN
66122,STEERING
14804,ENGINE AND ENGINE COOLING
158821,TIRES
248654,POWER TRAIN
271568,POWER TRAIN
139940,FUEL/PROPULSION SYSTEM
99117,FUEL/PROPULSION SYSTEM
17199,ENGINE
179793,FORWARD COLLISION AVOIDANCE
128208,STEERING
66639,POWER TRAIN
200726,ELECTRICAL SYSTEM
226884,POWER TRAIN
259000,SUSPENSION
37947,WHEELS
31848,STRUCTURE
193480,STEERING
241163,ENGINE
271770,VEHICLE SPEED CONTROL
180072,ENGINE
125295,STEERING
118971,ENGINE
238879,STEERING
177103,SERVICE BRAKES
45958,VISIBILITY/WIPER
921,FORWARD COLLISION AVOIDANCE
183683,VEHICLE SPEED CONTROL
294490,STRUCTURE
101918,ENGINE
108036,VISIBILITY
92065,STRUCTURE
212172,ENGINE
173271,SERVICE BRAKES
186040,POWER TRAIN
136618,LATCHES/LOCKS/LINKAGES
69260,ENGINE
10824,SERVICE BRAKES
188018,ENGINE
200496,STEERING
147680,AIR BAGS
220406,SERVICE BRAKES
177054,ENGINE
247811,FORWARD COLLISION AVOIDANCE
33839,ENGINE
18911,ELECTRICAL SYSTEM
36195,VISIBILITY/WIPER
181823,SUSPENSION
137835,POWER TRAIN
31469,ELECTRICAL SYSTEM
264034,ELECTRICAL SYSTEM
213633,FORWARD COLLISION AVOIDANCE
205573,VEHICLE SPEED CONTROL
212336,AIR BAGS
262880,POWER TRAIN
186870,POWER TRAIN
84821,SERVICE BRAKES
241361,LATCHES/LOCKS/LINKAGES
149457,POWER TRAIN
113462,ELECTRICAL SYSTEM
228905,ENGINE
203237,VISIBILITY/WIPER
98378,POWER TRAIN
198910,ENGINE
118029,ELECTRICAL SYSTEM
105165,ELECTRICAL SYSTEM
27273,LANE DEPARTURE
216811,SERVICE BRAKES
100007,ENGINE
162942,SERVICE BRAKES
163192,POWER TRAIN
36707,ENGINE
69961,LATCHES/LOCKS/LINKAGES
198013,FUEL SYSTEM
181723,ELECTRICAL SYSTEM
6929,STRUCTURE
3593,FUEL SYSTEM
174192,ENGINE
236747,POWER TRAIN
72556,SERVICE BRAKES
203239,VEHICLE SPEED CONTROL
146114,SERVICE BRAKES
230909,POWER TRAIN
149653,ENGINE
182073,FUEL SYSTEM
258197,EXTERIOR LIGHTING
47553,VISIBILITY
135745,VISIBILITY
272538,EXTERIOR LIGHTING
251760,FUEL SYSTEM
15949,AIR BAGS
197566,ENGINE
6900,LATCHES/LOCKS/LINKAGES
21056,ENGINE
84577,POWER TRAIN
19833,VISIBILITY
132473,FORWARD COLLISION AVOIDANCE
266437,ENGINE
249763,LATCHES/LOCKS/LINKAGES
79419,ELECTRICAL SYSTEM
257420,ENGINE
13817,SERVICE BRAKES
158119,STEERING
95905,STRUCTURE
71095,ENGINE
117274,STRUCTURE
69635,ENGINE
223628,VEHICLE SPEED CONTROL
196269,ENGINE
297092,SERVICE BRAKES
254222,FUEL/PROPULSION SYSTEM
216703,SEAT BELTS
143762,POWER TRAIN
53513,ENGINE
17589,ELECTRICAL SYSTEM
12769,STRUCTURE
52892,ELECTRICAL SYSTEM
27677,ENGINE
52398,AIR BAGS
164482,VISIBILITY/WIPER
101524,ENGINE
43850,LATCHES/LOCKS/LINKAGES
222664,SERVICE BRAKES
156543,FUEL/PROPULSION SYSTEM
129659,AIR BAGS
232502,ENGINE
110374,VISIBILITY/WIPER
177750,POWER TRAIN
266543,ENGINE
268251,POWER TRAIN
294641,POWER TRAIN
187927,EXTERIOR LIGHTING
292120,ENGINE
96808,ENGINE
297572,VISIBILITY/WIPER
189315,SERVICE BRAKES
289589,EXTERIOR LIGHTING
151238,ENGINE
185197,ENGINE
217737,SERVICE BRAKES
28990,SEATS
113222,ELECTRICAL SYSTEM
47960,POWER TRAIN
145287,AIR BAGS
198422,POWER TRAIN
132857,ENGINE
72145,POWER TRAIN
50431,ENGINE
25248,ENGINE
228001,ELECTRICAL SYSTEM
7193,EXTERIOR LIGHTING
40466,ELECTRICAL SYSTEM
248268,SERVICE BRAKES
33646,LATCHES/LOCKS/LINKAGES
204801,ENGINE AND ENGINE COOLING
38296,POWER TRAIN
219928,POWER TRAIN
171651,POWER TRAIN
148909,POWER TRAIN
126823,FUEL SYSTEM
135298,FORWARD COLLISION AVOIDANCE
30083,ENGINE
205502,FORWARD COLLISION AVOIDANCE
116388,ELECTRICAL SYSTEM
117196,POWER TRAIN
18143,ELECTRICAL SYSTEM
88395,ENGINE
251925,SEAT BELTS
270799,SERVICE BRAKES
86181,ELECTRICAL SYSTEM
148044,FUEL SYSTEM
264948,SERVICE BRAKES
180808,SERVICE BRAKES
275766,POWER TRAIN
116898,POWER TRAIN
110021,SERVICE BRAKES
224895,ENGINE
171420,POWER TRAIN
32819,FUEL SYSTEM
127817,ENGINE
98676,EXTERIOR LIGHTING
251004,VISIBILITY/WIPER
125146,ELECTRICAL SYSTEM
79793,AIR BAGS
247443,ENGINE
293021,AIR BAGS
138146,AIR BAGS
171555,LATCHES/LOCKS/LINKAGES
31213,EXTERIOR LIGHTING
140938,ENGINE
91447,VISIBILITY/WIPER
116475,ENGINE
117861,POWER TRAIN
220706,ENGINE
34514,LATCHES/LOCKS/LINKAGES
126342,SERVICE BRAKES
87384,TIRES
133575,AIR BAGS
281567,EXTERIOR LIGHTING
188081,ELECTRICAL SYSTEM
106596,ENGINE
124496,ENGINE AND ENGINE COOLING
70123,SEATS
118937,POWER TRAIN
72424,SERVICE BRAKES
1466,POWER TRAIN
59816,SERVICE BRAKES
236068,POWER TRAIN
276259,ELECTRICAL SYSTEM
228130,POWER TRAIN
21767,ENGINE
59169,STEERING
101983,FUEL SYSTEM
117899,ENGINE
26360,ENGINE
191988,AIR BAGS
266628,AIR BAGS
63319,VISIBILITY
526,STEERING
61058,POWER TRAIN
74873,VEHICLE SPEED CONTROL
7488,LATCHES/LOCKS/LINKAGES
123147,ENGINE
162224,POWER TRAIN
226327,STRUCTURE
199480,FORWARD COLLISION AVOIDANCE
46837,ENGINE
187304,POWER TRAIN
57992,VISIBILITY/WIPER
170741,LATCHES/LOCKS/LINKAGES
14186,TIRES
66640,FORWARD COLLISION AVOIDANCE
219780,ENGINE
283167,EXTERIOR LIGHTING
114111,ENGINE
245516,STEERING
227114,STEERING
66756,STEERING
81590,POWER TRAIN
189562,SERVICE BRAKES
111168,ENGINE AND ENGINE COOLING
24723,ENGINE
146415,VEHICLE SPEED CONTROL
297840,POWER TRAIN
57035,ENGINE
69055,POWER TRAIN
203356,POWER TRAIN
108077,ENGINE
251203,POWER TRAIN
45422,SERVICE BRAKES
216511,ENGINE
245808,VISIBILITY/WIPER
214676,SERVICE BRAKES
241937,STRUCTURE
222382,AIR BAGS
69248,ELECTRICAL SYSTEM
234612,STRUCTURE
7842,ENGINE
202859,SERVICE BRAKES
2088,ENGINE
188339,ENGINE
227197,ELECTRICAL SYSTEM
264692,SERVICE BRAKES
246994,POWER TRAIN
95437,SUSPENSION
128245,ENGINE
273474,ENGINE
