car_id,year,complaint_id,image_id,audio_id,is_sick_audio,is_sick_text,is_sick_image
92621,2001,8867,11093,,,0,1
284228,2001,58136,12552,,,0,1
14822,2002,106210,21388,,,0,1
124413,2002,73728,19200,,,0,1
185221,2004,117,16330,,,0,1
271144,2005,35657,30056,,,0,1
166183,2005,57282,27083,,,0,1
181156,2005,7903,24559,,,0,1
231105,2005,73978,25014,,,0,1
93435,2006,73547,,1219,1,0,
236307,2007,149448,25973,,,0,1
252807,2007,57278,19214,,,0,1
23046,2009,106232,21295,,,0,1
295531,2009,78576,16189,570,1,0,1
108345,2009,155814,19471,,,0,1
39705,2010,66735,27048,,,0,1
135182,2010,120379,25842,,,0,1
88875,2010,149772,25210,,,0,1
78675,2011,143277,28327,,,0,1
178898,2011,63049,17805,,,0,1
24417,2011,79730,19042,,,0,1
73750,2013,105903,,515,1,0,
38117,2013,66461,18102,,,0,1
55321,2014,106040,21221,,,0,1
98950,2014,74130,26179,,,0,1
29730,2015,35342,27517,,,0,1
281317,2015,63302,29988,,,0,1
5600,2015,57246,18365,,,0,1
24265,2016,120035,24253,,,0,1
8846,2018,35379,25181,,,0,1
174992,2019,119712,,1055,1,0,
139110,2021,107489,22953,,,0,1
149033,2021,70952,26789,,,0,1
139891,2021,6476,21126,,,0,1
144682,2021,119925,20295,,,0,1
48728,2023,77912,17011,,,0,1
105344,2023,78885,19672,,,0,1
139949,2023,108746,25068,,,0,1
52702,2000,78244,23163,,,0,1
278043,2001,79551,17330,,,0,1
269477,2001,70519,22840,,,0,1
229262,2001,78971,24023,,,0,1
262425,2002,107896,23373,,,0,1
90000,2004,109201,29876,,,0,1
272815,2004,70390,,168,1,0,
144202,2004,78089,23656,,,0,1
48658,2004,78079,18403,,,0,1
259837,2005,66385,,795,1,0,
148965,2006,119741,252,1282,1,0,0
60577,2007,487,29904,,,0,1
240978,2008,140162,27960,,,0,1
273697,2008,144700,22556,,,0,1
28938,2009,80176,28404,,,0,1
119002,2009,79897,28197,,,0,1
133016,2009,7836,23303,,,0,1
364,2011,120114,22818,,,0,1
113582,2011,140084,27752,,,0,1
250726,2012,8249,26951,,,0,1
75593,2013,6226,17711,,,0,1
8331,2015,79182,29720,,,0,1
262876,2015,73864,21744,,,0,1
293044,2018,347,16796,,,0,1
184193,2018,108653,28525,,,0,1
56045,2018,8080,28168,,,0,1
278639,2020,79966,25713,,,0,1
83732,2021,133783,24550,,,0,1
281567,2022,63039,16828,,,0,1
196355,2022,7937,18314,,,0,1
253611,2023,62770,20611,,,0,1
19367,2024,79532,21053,,,0,1
49887,2025,106056,26767,,,0,1
274752,2025,7676,16362,541,1,0,1
256530,2000,74515,8497,,,1,0
273479,2000,70544,24849,,,0,1
11588,2000,149370,25256,,,0,1
291878,2001,35534,29799,,,0,1
94844,2002,107791,24225,,,0,1
200226,2004,78018,19861,,,0,1
10458,2004,73676,16377,,,0,1
78016,2006,119823,17969,,,0,1
268894,2007,108579,17331,,,0,1
197660,2007,79959,26599,,,0,1
70797,2008,62994,26325,,,0,1
263873,2008,108609,19710,,,0,1
274168,2009,71014,28002,,,0,1
146114,2010,143563,27631,,,0,1
155281,2010,35789,18706,,,0,1
136672,2011,35319,16696,,,0,1
92131,2011,6815,27324,,,0,1
264529,2012,133501,29296,,,0,1
4698,2012,106483,29030,,,0,1
237058,2014,139815,,1211,1,0,
67332,2015,7810,28280,,,0,1
154510,2015,143305,18841,,,0,1
217006,2016,143453,26963,,,0,1
276673,2017,79400,77,1146,1,0,0
216454,2017,133260,26751,,,0,1
61576,2018,6531,21398,,,0,1
178126,2018,151573,23218,,,0,1
176949,2021,73987,17571,,,0,1
44171,2021,78838,18832,,,0,1
94186,2024,133614,29516,,,0,1
44499,2024,144546,17983,,,0,1
67978,2025,133494,20178,,,0,1
240244,2025,63125,22658,,,0,1
180333,2000,,239,853,1,,0
190975,2001,57604,26389,,,0,1
42040,2001,120066,19889,,,0,1
88575,2001,144672,21849,,,0,1
229097,2002,78902,22435,,,0,1
43152,2003,144542,18178,,,0,1
187586,2004,78440,23658,,,0,1
14640,2005,107507,22193,,,0,1
179699,2005,108527,,509,1,0,
265764,2007,106290,29633,,,0,1
250235,2007,79430,,1084,1,0,
184615,2007,80328,5773,,,0,1
65025,2009,106410,24165,,,0,1
192523,2010,155729,16597,,,0,1
87357,2010,35590,21577,,,0,1
75277,2010,107873,29550,,,0,1
71901,2011,139847,25280,,,0,1
246793,2013,133656,28575,,,0,1
230922,2014,70804,25559,,,0,1
198186,2015,120200,21260,,,0,1
200693,2015,35894,23345,,,0,1
29706,2015,78424,22606,,,0,1
246819,2015,57095,19816,,,0,1
123728,2015,78874,21998,,,0,1
216029,2017,6546,22200,,,0,1
267364,2017,66578,23927,,,0,1
45785,2018,144394,18994,,,0,1
252917,2021,133353,20379,,,0,1
147086,2021,57084,26930,,,0,1
154427,2022,106146,19081,,,0,1
21590,2022,107446,16245,615,1,0,1
298044,2024,6534,20331,,,0,1
58452,2025,133471,23388,,,0,1
182822,2025,143576,28795,,,0,1
82285,2025,66773,23220,,,0,1
106196,2025,57442,20894,,,0,1
30033,2001,73960,22116,,,0,1
8403,2001,78980,24394,,,0,1
15807,2002,7943,20661,,,0,1
265815,2003,149881,29609,,,0,1
66639,2004,79399,65,1315,1,0,0
126217,2004,57368,26077,,,0,1
83640,2004,6209,16665,,,0,1
150232,2007,133121,,771,1,0,
169029,2009,35281,16265,,,0,1
123895,2009,57679,28017,,,0,1
141429,2010,74003,27471,,,1,0
81960,2013,156035,27915,,,0,1
97337,2015,62655,17148,,,0,1
231808,2015,149289,26903,,,0,1
76624,2017,8489,2659,,,1,0
210379,2017,62889,21012,,,0,1
243377,2018,63644,28503,,,0,1
170141,2018,140135,21397,,,0,1
240578,2019,140007,19787,,,0,1
260908,2019,151635,25283,,,0,1
255914,2021,105995,29634,,,0,1
246389,2021,119794,,1335,1,0,
145376,2021,78196,20627,,,0,1
136618,2023,78904,21989,,,0,1
84608,2023,35601,24096,,,0,1
205097,2023,108033,20624,,,0,1
37253,2023,133692,28246,,,0,1
50805,2024,151467,23729,,,0,1
4995,2025,78152,17062,,,0,1
244430,2025,57062,25609,,,0,1
216687,2000,79635,26425,,,0,1
202882,2001,108827,28255,,,0,1
70841,2001,35525,18562,,,0,1
89717,2003,57507,28631,,,0,1
186014,2004,120012,20037,,,0,1
283686,2006,151636,19413,,,0,1
59500,2006,7940,23204,,,0,1
185197,2007,8074,20071,,,0,1
46463,2007,143199,27623,,,0,1
25273,2007,6287,17352,,,0,1
104872,2007,133667,19553,,,0,1
192128,2008,35644,17154,,,0,1
259370,2009,71012,27865,,,0,1
35548,2009,63995,9569,,,0,1
268914,2010,151571,18381,,,0,1
289411,2011,144568,17916,,,0,1
9204,2011,106092,16726,,,0,1
251701,2011,6805,29341,,,0,1
132345,2012,151181,22170,,,0,1
143333,2013,74096,25472,,,0,1
174938,2014,151325,19598,,,0,1
235151,2014,155707,20895,,,0,1
132357,2014,63453,1013,,,0,1
111359,2014,143617,27934,,,0,1
239655,2014,74020,18295,,,0,1
96286,2015,144363,,767,1,0,
185099,2015,142987,16935,,,0,1
298646,2015,78437,30097,,,0,1
23777,2015,66573,20986,,,0,1
154577,2017,143156,17652,,,0,1
26645,2017,6569,28502,,,0,1
44381,2017,140720,7926,,,1,0
243174,2018,73565,21674,,,0,1
104968,2018,79926,20812,,,0,1
175914,2019,7767,372,106,1,0,0
230329,2019,7870,20706,,,0,1
88861,2019,106321,28790,,,0,1
275294,2020,62992,26028,,,0,1
25205,2021,106398,29274,,,0,1
97199,2021,107581,22656,,,0,1
128572,2022,151562,26306,,,0,1
3130,2022,120262,17486,,,0,1
60979,2025,107509,29210,,,0,1
274872,2001,106454,25387,,,0,1
13140,2001,422,25995,,,0,1
149418,2003,74476,7797,,,1,0
99304,2004,70701,19828,,,0,1
147531,2004,78903,21941,,,0,1
280233,2007,149779,26656,,,0,1
97450,2008,70730,21191,,,0,1
104923,2014,106241,16996,,,0,1
95815,2014,151626,19202,,,0,1
288080,2015,144631,23482,,,0,1
280915,2020,106302,17190,,,0,1
43850,2022,78836,28686,,,0,1
202483,2022,8184,24636,,,0,1
198051,2023,73770,19599,,,0,1
222078,2023,63426,21877,,,0,1
37594,2024,133798,27889,,,0,1
179807,2025,106151,18022,,,0,1
294223,2025,66752,22780,,,0,1
21452,2025,79443,204,1125,1,0,0
153735,2002,143055,25789,,,0,1
205025,2002,6612,17316,,,0,1
212835,2003,78866,21950,,,0,1
201046,2004,143595,23173,,,0,1
272518,2005,6227,18424,,,0,1
286494,2006,57220,24112,,,0,1
87237,2006,139935,23719,,,0,1
24512,2006,74235,29261,,,0,1
227264,2008,151473,25621,,,0,1
166344,2009,73595,19724,,,0,1
240089,2010,63275,19659,,,0,1
251627,2011,151623,25106,,,0,1
188392,2011,155477,16809,185,1,0,1
13972,2012,149498,24943,,,0,1
277701,2014,106426,25121,,,0,1
164454,2016,62704,25796,,,0,1
28930,2016,57630,28547,,,0,1
134325,2016,636,21871,,,0,1
65790,2016,107997,27462,,,0,1
200205,2017,151740,22946,,,0,1
199049,2017,79115,30129,,,0,1
159412,2017,63458,26163,,,0,1
252403,2018,107867,27037,,,0,1
273318,2018,35324,21713,,,0,1
152960,2019,63376,23412,,,0,1
291294,2019,7668,,1359,1,0,
250238,2020,151714,28323,,,0,1
61919,2020,155829,28554,,,0,1
228496,2021,108969,21895,,,0,1
252647,2021,133129,,1221,1,0,
188301,2024,133374,20515,,,0,1
68616,2024,133393,22888,,,0,1
291598,2000,80053,25291,,,0,1
276329,2000,79909,25671,,,0,1
48054,2000,133397,16621,,,0,1
239372,2002,78136,19223,,,0,1
92239,2003,133495,17137,,,0,1
208696,2003,144091,11783,,,0,1
267440,2004,8398,27162,,,0,1
1103,2004,149747,24150,,,0,1
36307,2005,149432,26124,,,0,1
9805,2005,151347,19004,,,0,1
226722,2006,70588,28865,,,0,1
12081,2006,143427,18040,,,0,1
193878,2006,139830,,500,1,0,
261409,2008,149322,23764,,,0,1
122116,2008,35760,18484,,,0,1
258251,2008,142983,,202,1,0,
124835,2008,108649,24250,,,0,1
63785,2009,199,21862,,,0,1
272445,2010,63198,18806,,,0,1
146898,2011,80032,25074,,,0,1
129531,2011,144990,28495,,,0,1
286184,2013,35297,26771,,,0,1
57528,2013,107537,20260,,,0,1
82503,2014,35314,16339,,,0,1
211111,2016,107935,23652,,,0,1
192500,2017,151210,19575,,,0,1
33483,2017,35236,,400,1,0,
149015,2017,151108,19210,,,0,1
133282,2017,79067,29943,,,0,1
131511,2019,35231,360,1317,1,1,0
288302,2019,35490,16533,,,0,1
50434,2020,35847,29287,,,0,1
268041,2020,108775,26666,,,0,1
202939,2021,62758,23720,,,0,1
280411,2021,120331,24299,,,0,1
137992,2021,601,20098,,,0,1
279820,2024,78235,17533,,,0,1
129577,2025,35518,26332,,,0,1
24306,2000,62505,18235,,,0,1
89476,2001,151072,187,283,1,0,0
222189,2002,106080,25829,,,0,1
154306,2004,143208,18571,,,0,1
137918,2004,7997,19276,,,0,1
253693,2004,133466,23177,,,0,1
288596,2004,70549,16409,,,0,1
71291,2004,106042,27274,,,0,1
195594,2005,57252,26512,,,0,1
161539,2006,149430,23867,,,0,1
184875,2006,79700,17629,,,0,1
229638,2007,106331,21660,,,0,1
265354,2007,70637,27458,,,0,1
267218,2007,63245,28530,,,0,1
50362,2008,,370,890,1,,0
138763,2008,79596,23455,,,0,1
208570,2009,106000,24183,,,0,1
149928,2010,57580,25659,,,0,1
158947,2012,62798,22309,,,0,1
168099,2014,77885,18997,,,0,1
63354,2014,155461,,816,1,0,
262820,2016,70596,25302,,,0,1
240566,2016,70577,25048,,,0,1
278426,2016,155792,26482,,,0,1
100246,2020,120162,20327,,,0,1
269021,2020,70511,22414,,,0,1
292281,2021,8972,13010,,,1,0
173698,2021,77969,21758,,,0,1
91620,2021,156144,28898,,,0,1
77026,2022,105956,24778,,,0,1
108034,2022,155460,,240,1,0,
288932,2024,106077,18429,,,0,1
171555,2025,78982,26520,,,0,1
65362,2025,8032,18826,,,0,1
249917,2025,108116,28267,,,0,1
294455,2000,108016,25926,,,0,1
24234,2000,35729,18097,,,0,1
230991,2000,8378,28839,,,0,1
218378,2001,66634,25127,,,0,1
261328,2002,78126,19827,,,0,1
96045,2004,151653,19835,,,0,1
103314,2004,107661,25451,,,0,1
255291,2006,107691,22649,,,0,1
220319,2006,140053,22393,,,0,1
280001,2006,62645,19718,,,0,1
238123,2007,79073,18628,,,0,1
62293,2008,106183,27264,,,0,1
37592,2011,35886,29498,,,0,1
14186,2015,143497,25242,,,0,1
210630,2015,119724,178,1368,1,0,0
250931,2015,57232,17273,,,0,1
230254,2016,78351,27163,,,0,1
213341,2019,151393,30079,,,0,1
291965,2021,149880,29586,,,0,1
56000,2023,108955,20949,,,0,1
131447,2023,80083,26092,,,0,1
151343,2024,144800,26953,,,0,1
201337,2025,108936,24592,,,0,1
285847,2025,6754,26831,,,0,1
211271,2025,78879,18728,,,0,1
116642,2001,107999,25615,,,0,1
148464,2001,144835,29277,,,0,1
214344,2003,140357,1422,,,0,1
287246,2003,74117,20075,,,0,1
89555,2004,8128,21784,,,0,1
158423,2008,73859,25904,,,0,1
24478,2009,105937,29585,,,0,1
87384,2010,143279,23022,,,0,1
75406,2013,151216,21575,,,0,1
249763,2014,78803,20066,,,0,1
214954,2015,108545,18674,1272,1,0,1
37110,2016,8255,25935,,,0,1
155764,2017,66512,25140,,,0,1
285081,2018,106161,20312,,,0,1
285018,2018,80048,28573,,,0,1
34984,2019,8330,28656,,,0,1
91525,2019,70428,17752,,,0,1
55922,2019,426,21484,,,0,1
39769,2020,8271,28546,,,0,1
47984,2020,105992,19879,,,0,1
18947,2020,7949,16714,,,0,1
18753,2021,106068,24310,,,0,1
41405,2021,133244,17596,,,0,1
96665,2022,57300,27589,,,0,1
280623,2025,78264,29276,,,0,1
147859,2025,133259,22885,,,0,1
265731,2001,6526,19780,,,0,1
103640,2002,152352,13758,,,0,1
5688,2004,8252,23338,,,0,1
16159,2006,156067,27340,,,0,1
90075,2006,70760,17259,,,0,1
252966,2006,108129,29165,,,0,1
159775,2006,151323,18572,,,0,1
