index,car_id,problem_category
6412,282823,power train
6415,11294,power train
6422,167014,steering
6431,255551,power train
6443,289380,back over prevention
6444,115394,power train
6454,215567,electrical system
6460,391,power train
6465,268913,engine
6483,99995,steering
6485,160220,power train
6490,252403,seats
6509,153860,electrical system
6510,175914,electrical system
6514,35438,structure
6521,123305,seat belts
6527,261219,steering
6533,21028,engine
6538,103382,service brakes
6543,193041,engine and engine cooling
6553,28920,electrical system
6559,2701,engine
6562,278332,service brakes
6568,134838,electrical system
6576,122650,engine
6588,273762,electrical system
6591,66285,service brakes
6600,137577,visibility/wiper
6613,284030,engine
6615,27419,seats
6619,184622,engine
6627,193917,tires
6629,170325,service brakes
6649,121554,electrical system
6654,191981,structure
6657,293919,service brakes
6665,31341,service brakes
6678,183478,seat belts
6680,274171,engine
6689,71486,back over prevention
6692,211829,power train
6695,214267,engine
6706,25866,power train
6717,200015,service brakes
6721,18008,electrical system
6729,64221,fuel/propulsion system
6732,12314,engine
6734,95423,steering
6735,36084,power train
6740,45644,wheels
6808,158037,electrical system
6830,165450,fuel system
6831,15050,air bags
6832,275942,visibility/wiper
6836,212733,electrical system
6838,22729,power train
6845,57583,air bags
6849,65838,fuel/propulsion system
6853,179807,seat belts
6866,86528,engine
6871,32115,steering
6875,121475,power train
6879,168804,engine
6892,201521,steering
6910,217849,visibility/wiper
6911,66607,power train
6917,192618,power train
6921,110289,electrical system
6924,66122,steering
6936,14804,engine and engine cooling
6942,158821,tires
6946,248654,power train
6959,271568,power train
6967,139940,air bags
6978,99117,fuel/propulsion system
6987,17199,steering
6988,179793,forward collision avoidance
6993,128208,steering
7000,66639,power train
7010,200726,electrical system
7011,226884,power train
7023,259000,suspension
7040,37947,wheels
7058,31848,electrical system
7062,193480,steering
7065,241163,engine
7069,271770,service brakes
7088,180072,engine
7095,125295,steering
7100,118971,engine
7114,238879,steering
7119,177103,service brakes
7121,45958,visibility/wiper
7152,921,forward collision avoidance
7161,183683,electrical system
7165,294490,structure
7170,101918,electrical system
7180,108036,visibility/wiper
7186,92065,structure
7193,212172,engine
7195,173271,electrical system
7198,186040,power train
7203,136618,latches/locks/linkages
7212,69260,power train
7216,10824,air bags
7217,188018,engine
7222,200496,steering
7226,147680,air bags
7237,220406,service brakes
7244,177054,engine
7246,247811,forward collision avoidance
7249,33839,engine
7259,18911,electrical system
7276,36195,visibility/wiper
7280,181823,suspension
7292,137835,vehicle speed control
7296,31469,electrical system
7310,264034,electrical system
7311,213633,service brakes
7313,205573,power train
7319,212336,steering
7325,262880,power train
7329,186870,electrical system
7342,84821,service brakes
7351,241361,electrical system
7356,149457,power train
7357,113462,electrical system
7363,228905,engine
7366,203237,visibility
7372,98378,power train
7392,198910,engine
7395,118029,electrical system
7405,105165,steering
7417,27273,steering
7421,216811,service brakes
7451,100007,engine
7458,162942,service brakes
7459,163192,electrical system
7463,36707,engine
7475,69961,structure
7478,198013,fuel/propulsion system
7480,181723,electrical system
7488,6929,structure
7494,3593,fuel system
7498,174192,engine
7502,236747,engine
7504,72556,service brakes
7506,203239,service brakes
7507,146114,tires
7510,230909,power train
7512,149653,vehicle speed control
7522,182073,fuel system
7524,258197,electrical system
7529,47553,back over prevention
7531,135745,visibility/wiper
7532,272538,exterior lighting
7534,251760,fuel/propulsion system
7539,15949,electrical system
7540,197566,engine
7569,6900,structure
7573,21056,engine
7575,84577,electrical system
7578,19833,visibility/wiper
7601,132473,forward collision avoidance
7619,266437,engine and engine cooling
7625,249763,latches/locks/linkages
7631,79419,electrical system
7658,257420,power train
7673,13817,service brakes
7682,158119,steering
7707,95905,structure
7710,71095,engine
7719,117274,structure
7724,69635,engine
7753,223628,forward collision avoidance
7762,196269,engine
7791,297092,service brakes
7798,254222,engine
7803,216703,seat belts
7825,143762,power train
7828,53513,engine
7830,17589,electrical system
7835,12769,structure
7846,52892,electrical system
7871,27677,electrical system
7877,52398,air bags
7882,164482,visibility/wiper
7884,101524,engine
7893,43850,latches/locks/linkages
7899,222664,service brakes
7916,156543,engine
7926,129659,air bags
7944,232502,engine
7969,110374,electrical system
7972,177750,fuel/propulsion system
7983,266543,engine
7986,268251,electrical system
7988,294641,power train
7994,187927,exterior lighting
8021,292120,power train
8027,96808,engine
8031,297572,visibility/wiper
8039,189315,electrical system
8047,289589,exterior lighting
8054,151238,engine
8061,185197,electrical system
8067,217737,service brakes
8074,28990,power train
8078,113222,exterior lighting
8079,47960,power train
8081,145287,air bags
8126,198422,power train
8134,132857,engine
8136,72145,power train
8137,50431,exterior lighting
8140,25248,power train
8161,228001,electrical system
8178,7193,exterior lighting
8182,40466,electrical system
8193,248268,forward collision avoidance
8209,33646,structure
8248,204801,engine
8259,38296,power train
8262,219928,power train
8268,171651,power train
8276,148909,power train
8282,126823,steering
8297,135298,service brakes
8312,30083,engine
8327,205502,vehicle speed control
8331,116388,visibility/wiper
8334,117196,power train
8341,18143,electrical system
8343,88395,engine
8344,251925,seat belts
8349,270799,service brakes
8398,86181,structure
8403,148044,fuel/propulsion system
8404,264948,vehicle speed control
8406,180808,power train
8425,275766,power train
8432,116898,electrical system
8437,110021,service brakes
8443,224895,vehicle speed control
8444,171420,power train
8445,32819,fuel system
8447,127817,electrical system
8453,98676,electrical system
8457,251004,visibility/wiper
8462,125146,electrical system
8475,79793,air bags
8481,247443,engine
8493,293021,electrical system
8496,138146,air bags
8514,171555,latches/locks/linkages
8522,31213,exterior lighting
8524,140938,engine
8530,91447,visibility/wiper
8531,116475,fuel/propulsion system
8533,117861,electrical system
8534,220706,power train
8536,34514,electrical system
8539,126342,service brakes
8541,87384,tires
8543,133575,air bags
8545,281567,exterior lighting
8549,188081,electrical system
8551,106596,engine
8558,124496,engine
8566,70123,seats
8583,118937,power train
8588,72424,service brakes
8590,1466,power train
8593,59816,service brakes
8598,236068,power train
8602,276259,equipment
8604,228130,power train
8619,21767,engine
8637,59169,steering
8648,101983,structure
8650,117899,power train
8651,26360,engine
8653,191988,electrical system
8672,266628,electrical system
8679,63319,visibility
8683,526,steering
8690,61058,power train
8691,74873,vehicle speed control
8694,7488,electrical system
8701,123147,engine
8704,162224,power train
8710,226327,structure
8713,199480,visibility
8720,46837,engine
8724,187304,power train
8735,57992,visibility/wiper
8738,170741,latches/locks/linkages
8752,14186,tires
8764,66640,service brakes
8766,219780,engine
8769,283167,electrical system
8778,114111,engine
8790,245516,steering
8802,227114,steering
8811,66756,steering
8817,81590,power train
8846,189562,service brakes
8848,111168,engine and engine cooling
8853,24723,engine and engine cooling
8859,146415,forward collision avoidance
8860,297840,power train
8861,57035,engine
8869,69055,power train
8872,203356,electrical system
8890,108077,engine
8898,251203,power train
8900,45422,service brakes
8901,216511,engine
8906,245808,visibility/wiper
8913,214676,service brakes
8919,241937,structure
8923,222382,air bags
8928,69248,power train
8932,234612,structure
8933,7842,engine
8936,202859,electrical system
8941,2088,electrical system
8942,188339,electrical system
8945,227197,electrical system
8952,264692,service brakes
8953,246994,power train
8955,95437,suspension
8970,128245,engine
8973,273474,engine
9010,177436,power train
9011,56615,power train
9016,194985,engine
9024,13265,forward collision avoidance
9029,230568,back over prevention
9037,111132,fuel/propulsion system
9057,63320,air bags
9063,206691,steering
9076,103873,power train
9089,277302,air bags
9093,208025,fuel/propulsion system
9109,172153,electrical system
9121,118822,power train
9129,187579,structure
9142,96183,engine
9143,122597,steering
9145,256530,fuel/propulsion system
9151,213409,electrical system
9152,149830,electrical system
9153,158171,steering
9165,106435,engine and engine cooling
9171,156216,electrical system
9175,281074,service brakes
9178,74421,electrical system
9179,15547,structure
9197,50653,electrical system
9202,225075,power train
9225,232913,electrical system
9236,184081,air bags
9241,37010,engine
9267,267447,engine
9272,207243,service brakes
9273,295088,electrical system
9290,178625,visibility/wiper
9302,162468,tires
9308,203799,service brakes
9337,133935,engine
9346,165947,electrical system
9348,201046,tires
9363,278525,engine
9365,194660,structure
9369,158845,power train
9375,149418,fuel/propulsion system
9379,68113,power train
9393,238472,power train
9398,224209,service brakes
9399,12745,engine
9404,152041,electrical system
9406,229056,exterior lighting
9424,297692,structure
9438,139815,engine
9444,153735,tires
9460,145493,engine
9473,142635,electrical system
9476,289632,power train
9491,118412,power train
9511,130043,fuel/propulsion system
9516,284046,structure
9521,244439,electrical system
9539,113419,exterior lighting
9547,218148,vehicle speed control
9561,176409,forward collision avoidance
9576,68348,fuel system
9578,234090,power train
9588,216189,engine
9589,74255,electrical system
9596,145503,air bags
9612,107867,electrical system
9621,84032,power train
9635,237330,service brakes
9639,138952,electrical system
9645,22424,steering
9660,216275,wheels
9668,138728,visibility
9688,271171,latches/locks/linkages
9703,197811,fuel system
9706,118010,service brakes
9719,97158,steering
9724,175015,power train
9748,14573,electrical system
9750,206169,electrical system
9763,50163,fuel system
9772,120709,fuel system
9773,221248,wheels
9782,131637,electrical system
9792,254757,air bags
9799,24953,power train
9801,18254,forward collision avoidance
9807,152117,forward collision avoidance
9808,106529,engine
9812,82012,electrical system
9821,69282,steering
9827,162742,engine
9829,42310,engine
9830,29128,power train
9831,243174,fuel/propulsion system
9837,171366,power train
9850,214871,engine
9861,295032,engine and engine cooling
9868,157547,vehicle speed control
9899,144363,power train
9903,124679,engine
9925,151495,engine
9933,76249,engine
9935,291837,forward collision avoidance
9948,275216,suspension
9949,280426,vehicle speed control
9950,69140,power train
9958,265353,power train
9976,84918,visibility/wiper
9977,31696,fuel/propulsion system
9980,261407,power train
9990,77703,vehicle speed control
10002,241756,electrical system
10017,131060,visibility
10020,77473,seats
10038,288780,power train
10039,165234,fuel system
10047,147304,steering
10059,285237,power train
10065,245022,power train
10067,251089,power train
10083,297660,visibility/wiper
10094,65174,power train
10098,258961,engine and engine cooling
10100,112102,fuel/propulsion system
10115,181863,fuel system
10130,64436,power train
10136,227250,engine
10149,166792,forward collision avoidance
10150,219778,electrical system
10154,67722,electrical system
10157,73361,lane departure
10178,8687,power train
10190,239827,latches/locks/linkages
10193,40507,power train
10200,205205,power train
10209,273250,fuel/propulsion system
10211,246493,steering
10213,115589,engine
10238,99225,steering
10267,127825,electrical system
10280,297258,power train
10284,47579,fuel/propulsion system
10298,187288,power train
10305,91257,service brakes
10325,90747,steering
10326,102084,forward collision avoidance
10338,212511,service brakes
10342,115605,structure
10345,74074,vehicle speed control
10347,4141,steering
10352,81012,electrical system
10366,216067,electrical system
10367,203105,power train
10368,147993,steering
10369,288815,air bags
10374,201355,electrical system
10382,120303,exterior lighting
10391,114622,engine
10395,55183,power train
10400,25770,engine
10410,206069,service brakes
10422,98505,power train
10430,259319,power train
10443,56549,electrical system
10451,269907,engine
10456,238236,fuel/propulsion system
10466,158363,electrical system
10471,9498,electrical system
10472,243285,engine
10475,102829,structure
10485,49755,engine
10491,266370,power train
10511,28938,power train
10522,4070,power train
10530,52933,back over prevention
10546,256783,steering
10556,108064,engine
10558,68162,tires
10560,74529,equipment
10564,47633,power train
10581,83931,power train
10596,255902,electrical system
10606,208785,electrical system
10607,202619,electrical system
10612,173751,forward collision avoidance
10636,145828,vehicle speed control
10644,72014,vehicle speed control
10649,214706,steering
10651,78675,tires
10662,176257,service brakes
10665,98449,steering
10704,274992,engine
10712,99231,engine and engine cooling
10717,105933,structure
10718,84840,structure
10721,275354,exterior lighting
10734,38823,engine
10736,1574,suspension
10743,64639,fuel/propulsion system
10753,227844,structure
10764,267059,engine
10765,226329,steering
10796,138841,engine
10804,251646,power train
10815,129080,fuel system
10824,141489,engine
10834,147918,power train
10840,186404,service brakes
10842,25205,seat belts
10847,7236,service brakes
10857,178951,power train
10858,192523,wheels
10862,184333,power train
10874,60102,steering
10878,84517,power train
10881,96677,power train
10897,103023,seat belts
10900,180478,service brakes
10936,251120,electrical system
10947,201193,electrical system
10954,282908,air bags
10957,68132,vehicle speed control
10960,232501,steering
11000,16563,power train
11001,153786,power train
11010,174753,steering
11023,145529,electrical system
11025,40302,structure
11027,13858,air bags
11042,244095,electrical system
11043,200326,engine and engine cooling
11048,32049,engine
11051,125040,structure
11055,264385,power train
11076,116961,power train
11080,207957,fuel/propulsion system
11083,266163,steering
11084,71916,forward collision avoidance
11085,3565,electrical system
11086,139466,engine and engine cooling
11096,223385,fuel system
11105,132332,forward collision avoidance
11110,101651,electrical system
11121,188551,engine
11124,196985,wheels
11125,111924,service brakes
11127,71482,visibility
11130,87021,structure
